GENE_NAME	ANNOT
VBP1	cellular protein metabolic process;'de novo' posttranslational protein folding;protein folding
VCAM1	heart development;interspecies interaction between organisms;aging;regulation of immune response;response to hypoxia;response to nutrient;leukocyte tethering or rolling;acute inflammatory response;response to ionizing radiation;interferon-gamma-mediated signaling pathway;chronic inflammatory response;cytokine-mediated signaling pathway;embryonic placenta morphogenesis;cell adhesion;membrane to membrane docking;chorio-allantoic fusion;heterophilic cell-cell adhesion;B cell differentiation;leukocyte cell-cell adhesion;positive regulation of T cell proliferation
VCAN	axon regeneration;cell adhesion;multicellular organismal development;heart development;cell recognition;glial cell migration;response to wounding
VCL	cellular component movement;negative regulation of cell migration;muscle contraction;adherens junction assembly;cell adhesion;protein localization at cell surface;cell-matrix adhesion;apical junction assembly;blood coagulation;epithelial cell-cell adhesion;lamellipodium assembly;morphogenesis of an epithelium;platelet activation;platelet degranulation;regulation of cell migration
VCP	"transport;retrograde protein transport, ER to cytosol;aggresome assembly;ER to Golgi vesicle-mediated transport;positive regulation of protein complex assembly;activation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of proteasomal ubiquitin-dependent protein catabolic process;response to DNA damage stimulus;regulation of apoptotic process;cell death;proteasomal ubiquitin-dependent protein catabolic process;ATP catabolic process;protein ubiquitination;establishment of protein localization;DNA repair;ER-associated protein catabolic process;positive regulation of protein catabolic process;double-strand break repair;endoplasmic reticulum unfolded protein response;protein homooligomerization"
VCPIP1	endoplasmic reticulum membrane fusion;protein ubiquitination;Golgi reassembly;proteolysis;mitosis
VCPKMT	-
VCX	chromatin organization;spermatogenesis;ribosome assembly
VCX2	-
VCX3A	brain development
VCX3B	-
VCY1B	-
VDAC1	interspecies interaction between organisms;behavioral fear response;transmembrane transport;anion transport;apoptotic process;neuron-neuron synaptic transmission;learning;regulation of ion transmembrane transport;regulation of anion transport
VDAC1P1	-
VDAC1P10	-
VDAC1P11	-
VDAC1P2	-
VDAC1P5	-
VDAC1P6	-
VDAC2	anion transport;regulation of anion transport;transmembrane transport
VDAC2P1	-
VDAC2P2	-
VDAC3	adenine transport;regulation of anion transport;transmembrane transport
VDR	"negative regulation of transcription from RNA polymerase II promoter;positive regulation of keratinocyte differentiation;cell morphogenesis;negative regulation of transcription, DNA-dependent;signal transduction;positive regulation of transcription from RNA polymerase II promoter;negative regulation of cell proliferation;decidualization;gene expression;regulation of calcidiol 1-monooxygenase activity;positive regulation of gene expression;vitamin D receptor signaling pathway;negative regulation of keratinocyte proliferation;positive regulation of vitamin D 24-hydroxylase activity"
VEGFA	patterning of blood vessels;positive regulation of mesenchymal cell proliferation;nervous system development;positive regulation of endothelial cell migration;post-embryonic camera-type eye development;T-helper 1 type immune response;negative regulation of bone resorption;camera-type eye morphogenesis;positive regulation of cellular component movement;positive regulation of branching involved in ureteric bud morphogenesis;vasculogenesis;basophil chemotaxis;mesoderm development;positive regulation of intracellular protein kinase cascade;positive regulation of protein autophosphorylation;eye photoreceptor cell development;positive regulation of cell adhesion;positive regulation of smooth muscle cell proliferation;positive regulation of cell division;response to hypoxia;platelet degranulation;lactation;platelet activation;activation of protein kinase activity;negative regulation of apoptotic process;positive regulation of transcription from RNA polymerase II promoter;cardiac muscle fiber development;primitive erythrocyte differentiation;in utero embryonic development;positive regulation of leukocyte migration;blood coagulation;monocyte differentiation;positive regulation of CREB transcription factor activity;positive regulation of vascular permeability;platelet-derived growth factor receptor signaling pathway;artery morphogenesis;mammary gland alveolus development;kidney development;heart morphogenesis;behavior;macrophage differentiation;positive regulation of peptidyl-serine phosphorylation;surfactant homeostasis;vascular endothelial growth factor receptor signaling pathway;positive regulation of peptidyl-tyrosine phosphorylation;positive regulation of mast cell chemotaxis;positive regulation of endothelial cell proliferation;anti-apoptosis;positive regulation of cell proliferation;positive regulation of cell migration;endothelial cell chemotaxis;positive regulation of MAP kinase activity;mRNA stabilization;positive chemotaxis;cellular response to hypoxia;angiogenesis;blood vessel remodeling;signal transduction;regulation of cell shape;epithelial cell differentiation;cellular response to vascular endothelial growth factor stimulus;positive regulation of blood vessel endothelial cell migration;lung alveolus development;positive regulation of positive chemotaxis;positive regulation of protein kinase C signaling cascade;ovarian follicle development;cell migration involved in sprouting angiogenesis;multicellular organismal development;response to cold;positive regulation of vascular endothelial growth factor receptor signaling pathway;growth;positive regulation of angiogenesis;cell maturation;induction of positive chemotaxis;positive regulation of cell migration involved in sprouting angiogenesis
VEGFB	positive regulation of vascular endothelial growth factor receptor signaling pathway;positive regulation of cell division;positive regulation of endothelial cell proliferation;positive regulation of vascular wound healing;positive regulation of protein kinase B signaling cascade;platelet degranulation;positive regulation of vascular permeability;cardiac muscle contraction;protein O-linked glycosylation;negative regulation of neuron apoptosis;positive regulation of mast cell chemotaxis;anti-apoptosis;vascular endothelial growth factor receptor signaling pathway;coronary vasculature development;blood coagulation;positive regulation of peptidyl-tyrosine phosphorylation;positive regulation of ERK1 and ERK2 cascade;negative regulation of gene expression;positive chemotaxis;platelet activation;induction of positive chemotaxis
VEGFC	platelet degranulation;cell differentiation;positive regulation of epithelial cell proliferation;substrate-dependent cell migration;platelet activation;positive regulation of protein secretion;signal transduction;regulation of vascular endothelial growth factor receptor signaling pathway;positive chemotaxis;multicellular organismal development;positive regulation of protein autophosphorylation;induction of positive chemotaxis;blood coagulation;response to drug;positive regulation of cell division;positive regulation of cell proliferation;positive regulation of blood vessel endothelial cell migration;positive regulation of mast cell chemotaxis;angiogenesis;organ morphogenesis;negative regulation of blood pressure;positive regulation of neuroblast proliferation;morphogenesis of embryonic epithelium;vascular endothelial growth factor receptor signaling pathway
VENTXP2	-
VENTXP6	-
VEPH1	-
VEZF1	transcription from RNA polymerase II promoter;cellular defense response;angiogenesis;endothelial cell development;regulation of transcription from RNA polymerase II promoter
VEZF1P1	-
VEZT	cell-cell adhesion;chordate embryonic development
VGF	generation of precursor metabolites and energy;response to cAMP;response to cold;sexual reproduction;insulin secretion;response to insulin stimulus;glucose homeostasis;ovarian follicle development;penile erection;response to dietary excess;regulation of neuronal synaptic plasticity
VGLL1	"regulation of transcription, DNA-dependent"
VGLL2	"regulation of transcription, DNA-dependent;skeletal muscle tissue development;positive regulation of transcription from RNA polymerase II promoter"
VGLL3	"regulation of transcription, DNA-dependent"
VGLL4	"regulation of transcription, DNA-dependent"
VHL	"response to stress;response to ethanol;negative regulation of transcription from RNA polymerase II promoter;negative regulation of cell proliferation;positive regulation of cell differentiation;cell morphogenesis;protein ubiquitination;positive regulation of transcription, DNA-dependent;angiogenesis;protein catabolic process;protein stabilization;response to hypoxia;neuron differentiation;regulation of transcription, DNA-dependent;extracellular matrix organization;proteolysis;regulation of catecholamine metabolic process;anti-apoptosis;blood vessel endothelial cell migration"
VHLL	protein ubiquitination
VIL1	response to bacterium;negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of epithelial cell migration;actin filament severing;negative regulation of endopeptidase activity;regulation of actin nucleation;actin filament polymerization;actin filament capping;protein complex assembly;actin filament depolymerization;cytoplasmic actin-based contraction involved in cell motility;cytoskeleton organization;positive regulation of cell migration;regulation of wound healing;epidermal growth factor receptor signaling pathway;positive regulation of actin filament bundle assembly;cellular response to epidermal growth factor stimulus;regulation of cell shape;cellular response to hepatocyte growth factor stimulus;regulation of lamellipodium morphogenesis
VILL	cytoskeleton organization;actin filament capping
VIM	apoptotic process;cellular component disassembly involved in apoptosis;cellular component movement;muscle filament sliding;interspecies interaction between organisms
VIM-AS1	-
VIMP	-
VIP	G-protein coupled receptor signaling pathway;body fluid secretion;positive regulation of cell proliferation
VIPAS39	-
VIPR1	"muscle contraction;immune response;G-protein coupled receptor signaling pathway;G-protein signaling, coupled to cyclic nucleotide second messenger;synaptic transmission;digestion;positive regulation of cell proliferation"
VIPR2	G-protein coupled receptor signaling pathway;activation of adenylate cyclase activity;cell-cell signaling;signal transduction
VIT	-
VKORC1	cellular protein metabolic process;response to organic nitrogen;response to antibiotic;response to organic cyclic compound;positive regulation of coagulation;drug metabolic process;peptidyl-glutamic acid carboxylation;regulation of blood coagulation;vitamin K metabolic process;post-translational protein modification
VKORC1L1	-
VLDLR	nervous system development;cerebral cortex development;cellular response to interleukin-1;heart development;cellular response to insulin stimulus;cellular response to hypoxia;response to nutrient;glycoprotein transport;memory;very-low-density lipoprotein particle clearance;transport;steroid metabolic process;cellular response to glucose starvation;lipid transport;cholesterol metabolic process;response to drug;receptor-mediated endocytosis;response to hormone stimulus;positive regulation of protein kinase activity;signal transduction;ventral spinal cord development;cellular response to lipopolysaccharide
VLDLR-AS1	-
VMA21	vacuolar proton-transporting V-type ATPase complex assembly
VMAC	-
VMO1	vitelline membrane formation
VMP1	regulation of autophagy;cell-cell adhesion;cell junction assembly
VN1R1	response to pheromone
VN1R103P	-
VN1R108P	-
VN1R110P	-
VN1R13P	-
VN1R17P	response to pheromone
VN1R2	response to pheromone
VN1R20P	-
VN1R28P	-
VN1R3	response to pheromone
VN1R32P	-
VN1R42P	-
VN1R46P	-
VN1R51P	-
VN1R68P	-
VN1R6P	-
VN1R78P	-
VN2R10P	-
VN2R17P	-
VN2R19P	-
VN2R1P	-
VN2R20P	-
VN2R3P	-
VN2R9P	-
VNN1	nitrogen compound metabolic process;innate immune response;anti-apoptosis;cellular component movement;inflammatory response;response to oxidative stress;pantothenate metabolic process;acute inflammatory response;cell-cell adhesion;chronic inflammatory response;positive regulation of T cell differentiation in thymus
VNN2	nitrogen compound metabolic process;cellular component movement;pantothenate metabolic process
VNN3	nitrogen compound metabolic process
VOPP1	"regulation of transcription, DNA-dependent;signal transduction"
VPRBP	interspecies interaction between organisms
VPREB1	immune response
VPS11	intracellular protein transport;vesicle-mediated transport
VPS13A	Golgi to endosome transport;nervous system development;locomotory behavior;protein localization;protein transport;social behavior
VPS13A-AS1	-
VPS13B	protein localization;protein transport
VPS13C	protein localization
VPS13D	protein localization
VPS16	intracellular protein transport
VPS18	intracellular protein transport;endosome organization;lysosome organization;vesicle-mediated transport
VPS25	"regulation of transcription, DNA-dependent;protein transport;cellular membrane organization;endosome transport"
VPS25P1	-
VPS26A	"retrograde transport, endosome to Golgi;vacuolar transport;protein transport"
VPS26B	vacuolar transport;protein transport
VPS28	negative regulation of protein ubiquitination;egress of virus within host cell;protein transport;viral reproduction;cellular membrane organization;endosome transport
VPS29	protein transport
VPS33A	protein transport;vesicle-mediated transport;platelet formation;melanosome localization;lysosome localization;pigmentation;regulation of developmental pigmentation;vesicle docking involved in exocytosis
VPS33B	protein transport;vesicle-mediated transport;melanosome localization;lysosome localization;platelet alpha granule organization;vesicle docking involved in exocytosis;cellular membrane fusion
VPS35	"cell death;protein transport;retrograde transport, endosome to Golgi"
VPS36	"regulation of transcription, DNA-dependent;protein transport;cellular membrane organization;endosome transport"
VPS37A	egress of virus within host cell;protein transport;viral reproduction;cellular membrane organization;endosome transport
VPS37B	egress of virus within host cell;protein transport;viral reproduction;cellular membrane organization;endosome transport
VPS37C	protein transport;viral reproduction;cellular membrane organization;endosome transport;egress of virus within host cell
VPS37D	protein transport;viral reproduction;cellular membrane organization;endosome transport;egress of virus within host cell
VPS39	protein transport
VPS41	intracellular protein transport;vesicle-mediated transport;Golgi vesicle transport
VPS45	intracellular protein transport;vesicle docking involved in exocytosis;blood coagulation;vesicle-mediated transport
VPS4A	cellular membrane organization;vesicle-mediated transport;endosome transport;cytokinesis;cell cycle;protein transport
VPS4B	protein transport;cellular membrane organization;endosome transport;intracellular cholesterol transport;ATP catabolic process;endosome to lysosome transport via multivesicular body sorting pathway;potassium ion transport;response to lipid;endosome organization;cell division;cell cycle
VPS50	-
VPS51	-
VPS52	protein transport
VPS53	protein transport
VPS54	"homeostasis of number of cells within a tissue;musculoskeletal movement;neurofilament cytoskeleton organization;protein transport;growth;retrograde transport, endosome to Golgi"
VPS72	"somatic stem cell maintenance;negative regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;chromatin modification"
VPS8	-
VPS9D1	-
VPS9D1-AS1	-
VRK1	Golgi disassembly;protein phosphorylation;cell cycle;mitosis;protein autophosphorylation;cell division
VRK2	protein phosphorylation;response to oxidative stress;regulation of MAPK cascade;interspecies interaction between organisms;protein autophosphorylation;regulation of interleukin-1-mediated signaling pathway
VRK3	positive regulation of phosphoprotein phosphatase activity;negative regulation of ERK1 and ERK2 cascade
VRTN	"transposition, DNA-mediated"
VSIG1	-
VSIG10	-
VSIG10L	-
VSIG2	-
VSIG4	"complement activation, alternative pathway;negative regulation of interleukin-2 production;negative regulation of T cell proliferation"
VSIG8	-
VSNL1	-
VSTM1	-
VSTM2A	-
VSTM2A-OT1	-
VSTM2B	-
VSTM2L	-
VSTM4	-
VSTM5	-
VSX1	"neuron maturation;response to stimulus;retinal bipolar neuron differentiation;regulation of transcription, DNA-dependent;multicellular organismal development;visual perception"
VSX2	multicellular organismal development;retinal bipolar neuron differentiation;visual perception;positive regulation of cell proliferation;negative regulation of cell proliferation;camera-type eye development;cell fate commitment;positive regulation of transcription from RNA polymerase II promoter;response to stimulus
VTA1	endosome transport;protein transport;cellular membrane organization
VTCN1	negative regulation of T cell activation
VTI1A	"intracellular protein transport;ER to Golgi vesicle-mediated transport;vesicle-mediated transport;retrograde transport, endosome to Golgi;vesicle fusion with Golgi apparatus"
VTI1B	intracellular protein transport;vesicle docking involved in exocytosis;cellular membrane fusion;cell proliferation;vesicle-mediated transport
VTI1BP2	-
VTI1BP3	-
VTRNA1-2	-
VTRNA1-3	-
VTRNA3-1P	-
VWA1	extracellular matrix organization
VWA2	-
VWA3A	-
VWA3B	-
VWA5A	-
VWA5B1	-
VWA5B2	-
VWA7	-
VWA8	-
VWA9	-
VWC2L	-
VWCE	-
VWDE	-
VWF	"platelet degranulation;protein homooligomerization;cell adhesion;blood coagulation;blood coagulation, intrinsic pathway;hemostasis;response to wounding;liver development;platelet activation;placenta development;cell-substrate adhesion"
WAC	"positive regulation of transcription, DNA-dependent;histone H2B conserved C-terminal lysine ubiquitination;cell cycle checkpoint;response to DNA damage stimulus;histone monoubiquitination;chromatin modification"
WAC-AS1	-
WAPL	cell division;cell cycle;protein localization to chromatin;mitosis;regulation of cohesin localization to chromatin;negative regulation of DNA replication;response to toxin;negative regulation of chromatin binding;interspecies interaction between organisms;negative regulation of sister chromatid cohesion
WARS	translation;tRNA aminoacylation for protein translation;tryptophanyl-tRNA aminoacylation;negative regulation of cell proliferation;gene expression;regulation of angiogenesis
WARS2	vasculogenesis;tRNA aminoacylation for protein translation;tryptophanyl-tRNA aminoacylation;gene expression
WAS	defense response;T cell activation;immune response;T cell receptor signaling pathway;blood coagulation;actin polymerization or depolymerization;epidermis development;endosome transport;actin filament polymerization;protein complex assembly;actin filament-based movement
WASF1	protein complex assembly;cellular component movement;actin filament polymerization
WASF2	"G-protein signaling, coupled to cAMP nucleotide second messenger;Rac protein signal transduction;lamellipodium assembly;actin cytoskeleton organization;actin filament-based movement;angiogenesis;ameboidal cell migration;endocytosis"
WASF3	protein complex assembly;cytoskeleton organization;regulation of cell shape;actin filament polymerization
WASF4P	-
WASH1	"transport;endosome transport;Arp2/3 complex-mediated actin nucleation;retrograde transport, endosome to Golgi"
WASH3P	"transport;endosome transport;Arp2/3 complex-mediated actin nucleation;retrograde transport, endosome to Golgi"
WASH5P	-
WASH6P	"transport;endosome transport;Arp2/3 complex-mediated actin nucleation;retrograde transport, endosome to Golgi"
WASH7P	-
WASL	"nitric oxide metabolic process;regulation of transcription, DNA-dependent;regulation of nitric-oxide synthase activity;protein complex assembly;cellular component movement;axon guidance;actin polymerization or depolymerization;response to bacterium;small molecule metabolic process"
WBP1	-
WBP11	rRNA processing;mRNA processing;RNA splicing;regulation of catalytic activity
WBP11P1	-
WBP1L	-
WBP1LP2	-
WBP2	-
WBP2NL	meiosis;egg activation;male pronucleus assembly
WBP4	"mRNA processing;RNA splicing;nuclear mRNA cis splicing, via spliceosome"
WBP5	-
WBSCR16	-
WBSCR17	-
WBSCR22	metabolic process;methylation
WBSCR27	-
WBSCR28	-
WDFY1	-
WDFY2	-
WDFY3	metabolic process
WDFY3-AS2	-
WDFY4	-
WDHD1	-
WDPCP	regulation of embryonic cell shape;cell projection organization;septin cytoskeleton organization;regulation of protein localization;cilium morphogenesis
WDR1	platelet degranulation;blood coagulation;sensory perception of sound;platelet activation
WDR11	-
WDR11-AS1	-
WDR12	"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);rRNA processing;Notch signaling pathway;cell proliferation;ribosomal large subunit biogenesis"
WDR13	-
WDR17	-
WDR18	multicellular organismal development
WDR19	cell projection organization
WDR20	-
WDR24	-
WDR25	-
WDR26	-
WDR27	-
WDR3	-
WDR31	-
WDR33	postreplication repair;mRNA processing;spermatogenesis
WDR34	-
WDR35	cell projection organization;cilium assembly
WDR36	response to stimulus;rRNA processing;visual perception
WDR37	-
WDR38	-
WDR4	tRNA modification
WDR41	-
WDR43	-
WDR44	regulation of cell migration
WDR45	autophagy;response to starvation
WDR45B	-
WDR45P	-
WDR46	-
WDR47	-
WDR48	protein deubiquitination;interspecies interaction between organisms
WDR49	-
WDR5	"regulation of transcription, DNA-dependent;chromatin modification;histone H3 acetylation;histone H4-K5 acetylation;histone H4-K8 acetylation;histone H4-K16 acetylation;histone H3-K4 methylation;skeletal system development"
WDR53	-
WDR54	-
WDR55	rRNA processing
WDR59	-
WDR5B	-
WDR6	negative regulation of cell proliferation;cell cycle;cell cycle arrest
WDR60	-
WDR61	-
WDR62	neurogenesis;cerebral cortex development
WDR63	-
WDR64	-
WDR66	-
WDR7	-
WDR70	-
WDR72	-
WDR73	-
WDR74	-
WDR75	-
WDR76	-
WDR77	regulation of transcription from RNA polymerase II promoter;positive regulation of cell proliferation;negative regulation of cell proliferation;gene expression;RNA metabolic process;ncRNA metabolic process;secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development;spliceosomal snRNP assembly;negative regulation of epithelial cell proliferation involved in prostate gland development
WDR78	-
WDR81	negative regulation of phosphatase activity
WDR82	histone H3-K4 methylation
WDR82P1	-
WDR83	"RNA splicing, via transesterification reactions;nuclear mRNA splicing, via spliceosome"
WDR83OS	-
WDR86	-
WDR86-AS1	-
WDR87	-
WDR88	-
WDR89	-
WDR90	-
WDR91	-
WDR92	apoptotic process;histone lysine methylation
WDR93	electron transport chain
WDR97	-
WDSUB1	-
WDTC1	-
WDYHV1	protein modification process
WEE1	S phase of mitotic cell cycle;neuron projection morphogenesis;G2/M transition of mitotic cell cycle;cell division;microtubule cytoskeleton organization;regulation of cell cycle;mitotic cell cycle;mitosis;blood coagulation;cell cycle checkpoint;peptidyl-tyrosine phosphorylation;G1/S transition of mitotic cell cycle;establishment of cell polarity
WEE2-AS1	-
WFDC1	negative regulation of cell growth;response to estradiol stimulus;response to drug;negative regulation of epithelial cell proliferation
WFDC10A	-
WFDC10B	-
WFDC11	-
WFDC2	negative regulation of endopeptidase activity;proteolysis;spermatogenesis
WFDC21P	-
WFDC3	-
WFDC5	-
WFDC8	-
WFIKKN1	-
WFIKKN2	transforming growth factor beta receptor signaling pathway
WFS1	sensory perception of sound;regulation of apoptotic process;neurological system process;protein maturation by protein folding;negative regulation of apoptotic process;positive regulation of protein metabolic process;ER-associated protein catabolic process;negative regulation of programmed cell death;positive regulation of calcium ion transport;kidney development;endoplasmic reticulum unfolded protein response;negative regulation of sequence-specific DNA binding transcription factor activity;calcium ion homeostasis;renal water homeostasis;positive regulation of protein ubiquitination;negative regulation of neuron apoptosis;polyubiquitinated misfolded protein transport;ER overload response;endoplasmic reticulum calcium ion homeostasis;positive regulation of proteolysis;activation of signaling protein activity involved in unfolded protein response;response to endoplasmic reticulum stress;positive regulation of growth;visual perception;glucose homeostasis;protein stabilization
WHAMM	-
WHAMMP1	-
WHAMMP2	-
WHAMMP3	-
WHSC1	"regulation of transcription, DNA-dependent;anatomical structure morphogenesis;chromatin modification"
WHSC1L1	"regulation of transcription, DNA-dependent;cell growth;chromatin modification;histone methylation;cell differentiation;histone lysine methylation"
WI2-2373I1.2	-
WIF1	signal transduction;multicellular organismal development;Wnt receptor signaling pathway;positive regulation of fat cell differentiation
WIPF1	positive regulation of protein export from nucleus;protein complex assembly;actin polymerization or depolymerization;actin cytoskeleton organization;actin filament-based movement
WIPF2	-
WIPF3	multicellular organismal development;spermatogenesis;cell differentiation
WIPI1	"autophagy;activation of signaling protein activity involved in unfolded protein response;macroautophagy;endoplasmic reticulum unfolded protein response;vesicle targeting, trans-Golgi to endosome"
WIPI2	autophagic vacuole fusion;autophagy;autophagic vacuole assembly
WISP1	regulation of cell growth;cell adhesion;signal transduction;cell-cell signaling;Wnt receptor signaling pathway
WISP2	cell-cell signaling;negative regulation of cell proliferation;regulation of cell growth;cell adhesion;signal transduction
WISP3	regulation of cell growth;signal transduction;cell-cell signaling
WIZ	-
WLS	Wnt receptor signaling pathway;positive regulation of I-kappaB kinase/NF-kappaB cascade;positive regulation of canonical Wnt receptor signaling pathway;multicellular organismal development
WNK1	negative regulation of phosphatase activity;neuron development;regulation of cellular process;protein phosphorylation;ion transport;intracellular protein kinase cascade
WNK2	negative regulation of ERK1 and ERK2 cascade;regulation of ion homeostasis;positive regulation of sodium ion transmembrane transporter activity;protein phosphorylation;intracellular protein kinase cascade;negative regulation of cell proliferation;protein autophosphorylation
WNK3	positive regulation of sodium ion transport;regulation of ion homeostasis;positive regulation of peptidyl-threonine phosphorylation;positive regulation of sodium ion transmembrane transporter activity;positive regulation of ion transmembrane transporter activity;positive regulation of rubidium ion transport;rubidium ion transport;positive regulation of rubidium ion transmembrane transporter activity;protein autophosphorylation;protein phosphorylation;positive regulation of calcium ion transport;anti-apoptosis;sodium ion export;intracellular protein kinase cascade;positive regulation of establishment of protein localization in plasma membrane
WNK4	ion transport;chloride transport;intracellular protein kinase cascade;protein localization;regulation of cellular process;protein phosphorylation
WNT1	"embryonic axis specification;positive regulation of cell proliferation;diencephalon development;negative regulation of cell-cell adhesion;inner ear morphogenesis;positive regulation of transcription from RNA polymerase II promoter;hepatocyte differentiation;branching involved in ureteric bud morphogenesis;response to wounding;central nervous system morphogenesis;negative regulation of transforming growth factor beta receptor signaling pathway;signal transduction in response to DNA damage;positive regulation of fibroblast proliferation;cellular response to peptide hormone stimulus;positive regulation of protein phosphorylation;axis specification;cerebellum morphogenesis;ubiquitin-dependent SMAD protein catabolic process;negative regulation of apoptotic process;mesoderm morphogenesis;hemopoietic stem cell proliferation;signal transduction;embryonic pattern specification;cerebellum formation;midbrain development;positive regulation of insulin-like growth factor receptor signaling pathway;neuron fate determination;negative regulation of cell aging;Wnt receptor signaling pathway, calcium modulating pathway;positive regulation of lamellipodium assembly;fourth ventricle development;midbrain-hindbrain boundary development;canonical Wnt receptor signaling pathway involved in negative regulation of apoptosis;positive regulation of sequence-specific DNA binding transcription factor activity;negative regulation of DNA damage checkpoint;cell-cell signaling;negative regulation of cell-substrate adhesion;forebrain anterior/posterior pattern specification;organ regeneration;negative regulation of fat cell differentiation;Spemann organizer formation;negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process;multicellular organismal development;Wnt receptor signaling pathway;midbrain-hindbrain boundary maturation during brain development;T cell differentiation in thymus;positive regulation of Notch signaling pathway;canonical Wnt receptor signaling pathway;myoblast fusion;spinal cord association neuron differentiation;metencephalon development;brain segmentation;positive regulation of transcription, DNA-dependent;positive regulation of dermatome development"
WNT10A	axis specification;skin development;anterior/posterior pattern specification;epidermis morphogenesis;positive regulation of gene expression;sebaceous gland development;neural crest cell differentiation;canonical Wnt receptor signaling pathway;hair follicle morphogenesis;cellular response to transforming growth factor beta stimulus;hair follicle development;odontogenesis;multicellular organismal development;regulation of odontogenesis of dentin-containing tooth;female gonad development;tongue development
WNT10B	lipid metabolic process;positive regulation of G2/M transition of mitotic cell cycle;positive regulation of apoptotic process;protein stabilization;cellular response to retinoic acid;cell cycle arrest;myoblast cell differentiation involved in skeletal muscle regeneration;tongue development;sensory perception of taste;cellular response to cAMP;signal transduction;Wnt receptor signaling pathway;negative regulation of fat cell differentiation;positive regulation of sequence-specific DNA binding transcription factor activity;cellular response to parathyroid hormone stimulus;smoothened signaling pathway;neuron differentiation;positive regulation of osteoblast differentiation;regulation of protein metabolic process;cellular response to organic cyclic compound;multicellular organismal development;positive regulation of bone mineralization;positive regulation of RNA polymerase II transcriptional preinitiation complex assembly;positive regulation of anagen;hemopoietic stem cell proliferation;positive regulation of cell proliferation;positive regulation of epithelial cell differentiation;regulation of skeletal muscle tissue development;canonical Wnt receptor signaling pathway;cellular response to hydrostatic pressure;negative regulation of transcription from RNA polymerase II promoter;female gonad development;midbrain-hindbrain boundary development;skeletal muscle fiber development;bone trabecula formation;positive regulation of canonical Wnt receptor signaling pathway;chondrocyte differentiation;axis specification;regulation of proteasomal ubiquitin-dependent protein catabolic process;negative regulation of epithelial cell proliferation;fungiform papilla development
WNT11	"Wnt receptor signaling pathway;positive regulation of transforming growth factor beta2 production;artery morphogenesis;negative regulation of cartilage development;negative regulation of fibroblast growth factor production;positive regulation of protein phosphorylation;neuron differentiation;protein localization at cell surface;positive regulation of stress fiber assembly;neuroendocrine cell differentiation;outflow tract morphogenesis;bone mineralization;non-canonical Wnt receptor signaling pathway;palate development;tight junction assembly;protein phosphorylation;negative regulation of cell growth;positive regulation of apoptotic process;cloacal septation;cellular response to retinoic acid;multicellular organismal development;adrenal gland development;negative regulation of apoptotic process;ventricular septum morphogenesis;mesonephric duct development;endoderm development;positive regulation of cell migration;negative regulation of transcription, DNA-dependent;lung-associated mesenchyme development;negative regulation of mesenchymal cell proliferation;axis specification;negative regulation of cell migration;positive regulation of transcription, DNA-dependent;negative regulation of cell death;positive regulation of protein kinase C signaling cascade;anterior/posterior pattern specification;positive regulation of Ras GTPase activity;embryonic skeletal system development;ureteric bud morphogenesis;negative regulation of canonical Wnt receptor signaling pathway;osteoblast differentiation;positive regulation of gene expression"
WNT16	positive regulation of gene expression;replicative senescence;positive regulation of phosphatidylinositol 3-kinase cascade;oxidative stress-induced premature senescence;keratinocyte differentiation;optic cup formation involved in camera-type eye development;keratinocyte proliferation;multicellular organismal development;positive regulation of JNK cascade;axonogenesis;canonical Wnt receptor signaling pathway;axis specification;cardiac epithelial to mesenchymal transition;anterior/posterior pattern specification;negative regulation of cell death
WNT2	lens development in camera-type eye;lung development;lung induction;signal transduction;positive regulation of transcription from RNA polymerase II promoter;positive regulation of epithelial cell proliferation involved in lung morphogenesis;cell-cell signaling;positive regulation of fibroblast proliferation;labyrinthine layer blood vessel development;multicellular organismal development;positive regulation of sequence-specific DNA binding transcription factor activity;iris morphogenesis;positive regulation of cell proliferation;atrial cardiac muscle tissue morphogenesis;mammary gland epithelium development;dorsal/ventral axis specification;positive regulation of cardiac muscle cell proliferation;cellular response to retinoic acid;positive regulation of endothelial cell proliferation;Wnt receptor signaling pathway;canonical Wnt receptor signaling pathway;cellular response to transforming growth factor beta stimulus;positive regulation of mesenchymal cell proliferation;neuron differentiation;cardiac epithelial to mesenchymal transition;positive regulation of canonical Wnt receptor signaling pathway
WNT2B	"forebrain regionalization;positive regulation of canonical Wnt receptor signaling pathway;chondrocyte differentiation;neuron differentiation;lens development in camera-type eye;lung induction;Wnt receptor signaling pathway, calcium modulating pathway;mesenchymal-epithelial cell signaling;multicellular organismal development;iris morphogenesis;male gonad development;cornea development in camera-type eye;dorsal/ventral axis specification;hemopoietic stem cell proliferation;Wnt receptor signaling pathway;positive regulation of branching involved in ureteric bud morphogenesis"
